2025-January-06 11:09:55, Starting the ETL process
2025-Jan-06-15-15-11, INFO: ETL process completed successfully
2025-Jan-06-15-18-03, INFO: --------------------------------------------------
2025-Jan-06-15-18-03, INFO: Starting the ETL process
2025-Jan-06-15-18-03, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-18-03, INFO: Parsing HTML to table...
2025-Jan-06-15-18-03, INFO: Transforming data to dataframe...
2025-Jan-06-15-18-03, INFO: Saving data to Database...
2025-Jan-06-15-18-03, INFO: ETL process completed successfully
2025-Jan-06-15-19-38, INFO: --------------------------------------------------
2025-Jan-06-15-19-38, INFO: Starting the ETL process
2025-Jan-06-15-19-38, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-19-38, INFO: Parsing HTML to table...
2025-Jan-06-15-19-39, INFO: Transforming data to dataframe...
2025-Jan-06-15-19-39, INFO: Saving data to Database...
2025-Jan-06-15-19-39, INFO: ETL process completed successfully
2025-Jan-06-15-20-17, INFO: --------------------------------------------------
2025-Jan-06-15-20-17, INFO: Starting the ETL process
2025-Jan-06-15-20-17, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-20-17, INFO: Parsing HTML to table...
2025-Jan-06-15-20-17, INFO: Transforming data to dataframe...
2025-Jan-06-15-20-17, INFO: Saving data to Database...
2025-Jan-06-15-20-17, INFO: ETL process completed successfully
2025-Jan-06-15-20-37, INFO: --------------------------------------------------
2025-Jan-06-15-20-37, INFO: Starting the ETL process
2025-Jan-06-15-20-37, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-20-37, INFO: Parsing HTML to table...
2025-Jan-06-15-20-37, INFO: Transforming data to dataframe...
2025-Jan-06-15-20-37, INFO: Saving data to Database...
2025-Jan-06-15-20-37, INFO: ETL process completed successfully
2025-Jan-06-15-21-04, INFO: --------------------------------------------------
2025-Jan-06-15-21-04, INFO: Starting the ETL process
2025-Jan-06-15-21-04, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-21-04, INFO: Parsing HTML to table...
2025-Jan-06-15-21-05, INFO: Transforming data to dataframe...
2025-Jan-06-15-21-05, INFO: Saving data to Database...
2025-Jan-06-15-21-05, INFO: ETL process completed successfully
2025-Jan-06-15-22-09, INFO: --------------------------------------------------
2025-Jan-06-15-22-09, INFO: Starting the ETL process
2025-Jan-06-15-22-09, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-22-09, INFO: Parsing HTML to table...
2025-Jan-06-15-22-09, INFO: Transforming data to dataframe...
2025-Jan-06-15-22-09, INFO: Saving data to Database...
2025-Jan-06-15-22-09, INFO: ETL process completed successfully
2025-Jan-06-15-25-11, INFO: --------------------------------------------------
2025-Jan-06-15-25-11, INFO: Starting the ETL process
2025-Jan-06-15-25-11, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-25-12, INFO: Parsing HTML to table...
2025-Jan-06-15-25-12, INFO: Transforming data to dataframe...
2025-Jan-06-15-25-12, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-15-25-12, INFO: ETL process completed successfully
2025-Jan-06-15-29-47, INFO: --------------------------------------------------
2025-Jan-06-15-29-47, INFO: Starting the ETL process
2025-Jan-06-15-29-47, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-29-47, INFO: Parsing HTML to table...
2025-Jan-06-15-29-47, INFO: Transforming data to dataframe...
2025-Jan-06-15-29-47, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-15-29-47, INFO: ETL process completed successfully
2025-Jan-06-15-30-14, INFO: --------------------------------------------------
2025-Jan-06-15-30-14, INFO: Starting the ETL process
2025-Jan-06-15-30-14, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-30-15, INFO: Parsing HTML to table...
2025-Jan-06-15-30-15, INFO: Transforming data to dataframe...
2025-Jan-06-15-30-15, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-15-30-15, INFO: ETL process completed successfully
2025-Jan-06-15-30-40, INFO: --------------------------------------------------
2025-Jan-06-15-30-40, INFO: Starting the ETL process
2025-Jan-06-15-30-40, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-15-30-40, INFO: Parsing HTML to table...
2025-Jan-06-15-30-40, INFO: Transforming data to dataframe...
2025-Jan-06-15-30-40, INFO: Saving data to Database...
2025-Jan-06-15-30-40, INFO: ETL process completed successfully
2025-Jan-06-17-00-37, INFO: --------------------------------------------------
2025-Jan-06-17-00-37, INFO: Starting the ETL process
2025-Jan-06-17-00-37, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-00-37, INFO: Parsing HTML to table...
2025-Jan-06-17-00-37, INFO: Transforming data to dataframe...
2025-Jan-06-17-00-37, INFO: Saving data to Database...
2025-Jan-06-17-00-37, INFO: ETL process completed successfully
2025-Jan-06-17-00-46, INFO: --------------------------------------------------
2025-Jan-06-17-00-46, INFO: Starting the ETL process
2025-Jan-06-17-00-46, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-00-46, INFO: Parsing HTML to table...
2025-Jan-06-17-00-46, INFO: Transforming data to dataframe...
2025-Jan-06-17-00-46, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-00-46, INFO: ETL process completed successfully
2025-Jan-06-17-01-29, INFO: --------------------------------------------------
2025-Jan-06-17-01-29, INFO: Starting the ETL process
2025-Jan-06-17-01-29, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-01-29, INFO: Parsing HTML to table...
2025-Jan-06-17-01-29, INFO: Transforming data to dataframe...
2025-Jan-06-17-01-29, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-01-29, INFO: ETL process completed successfully
2025-Jan-06-17-02-07, INFO: --------------------------------------------------
2025-Jan-06-17-02-07, INFO: Starting the ETL process
2025-Jan-06-17-02-07, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-02-07, INFO: Parsing HTML to table...
2025-Jan-06-17-02-07, INFO: Transforming data to dataframe...
2025-Jan-06-17-02-07, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-02-07, INFO: ETL process completed successfully
2025-Jan-06-17-03-45, INFO: --------------------------------------------------
2025-Jan-06-17-03-45, INFO: Starting the ETL process
2025-Jan-06-17-03-45, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-03-45, INFO: Parsing HTML to table...
2025-Jan-06-17-03-45, INFO: Transforming data to dataframe...
2025-Jan-06-17-03-45, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-03-45, INFO: ETL process completed successfully
2025-Jan-06-17-04-00, INFO: --------------------------------------------------
2025-Jan-06-17-04-00, INFO: Starting the ETL process
2025-Jan-06-17-04-00, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-04-00, INFO: Parsing HTML to table...
2025-Jan-06-17-04-01, INFO: Transforming data to dataframe...
2025-Jan-06-17-04-01, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-04-01, INFO: ETL process completed successfully
2025-Jan-06-17-04-14, INFO: --------------------------------------------------
2025-Jan-06-17-04-14, INFO: Starting the ETL process
2025-Jan-06-17-04-14, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-04-14, INFO: Parsing HTML to table...
2025-Jan-06-17-04-14, INFO: Transforming data to dataframe...
2025-Jan-06-17-04-14, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-04-14, INFO: ETL process completed successfully
2025-Jan-06-17-06-35, INFO: --------------------------------------------------
2025-Jan-06-17-06-35, INFO: Starting the ETL process
2025-Jan-06-17-06-35, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-06-35, INFO: Parsing HTML to table...
2025-Jan-06-17-06-35, INFO: Transforming data to dataframe...
2025-Jan-06-17-06-35, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-06-35, INFO: ETL process completed successfully
2025-Jan-06-17-06-56, INFO: --------------------------------------------------
2025-Jan-06-17-06-56, INFO: Starting the ETL process
2025-Jan-06-17-06-56, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-06-57, INFO: Parsing HTML to table...
2025-Jan-06-17-06-57, INFO: Transforming data to dataframe...
2025-Jan-06-17-06-57, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-06-57, INFO: ETL process completed successfully
2025-Jan-06-17-07-06, INFO: --------------------------------------------------
2025-Jan-06-17-07-06, INFO: Starting the ETL process
2025-Jan-06-17-07-06, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-07-06, INFO: Parsing HTML to table...
2025-Jan-06-17-07-06, INFO: Transforming data to dataframe...
2025-Jan-06-17-07-06, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-07-06, INFO: ETL process completed successfully
2025-Jan-06-17-08-05, INFO: --------------------------------------------------
2025-Jan-06-17-08-05, INFO: Starting the ETL process
2025-Jan-06-17-08-05, INFO: Fetching HTML from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-06-17-08-05, INFO: Parsing HTML to table...
2025-Jan-06-17-08-05, INFO: Transforming data to dataframe...
2025-Jan-06-17-08-05, INFO: Saving data to Countries_by_GDP.json...
2025-Jan-06-17-08-05, INFO: ETL process completed successfully
2025-Jan-07-11-41-45, INFO: --------------------------------------------------
2025-Jan-07-11-41-45, INFO: Starting the ETL process
2025-Jan-07-11-42-34, INFO: --------------------------------------------------
2025-Jan-07-11-42-34, INFO: Starting the ETL process
2025-Jan-07-11-43-29, INFO: --------------------------------------------------
2025-Jan-07-11-43-29, INFO: Starting the ETL process
2025-Jan-07-11-48-04, INFO: --------------------------------------------------
2025-Jan-07-11-48-04, INFO: Starting the ETL process
2025-Jan-07-11-48-04, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-11-48-05, INFO: Data imported successfully
2025-Jan-07-11-48-05, INFO: Transforming data to dataframe...
2025-Jan-07-11-48-52, INFO: --------------------------------------------------
2025-Jan-07-11-48-52, INFO: Starting the ETL process
2025-Jan-07-11-48-52, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-11-48-52, INFO: Data imported successfully
2025-Jan-07-11-48-52, INFO: Transforming data to dataframe...
2025-Jan-07-11-55-35, INFO: --------------------------------------------------
2025-Jan-07-11-55-35, INFO: Starting the ETL process
2025-Jan-07-11-55-35, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-11-55-35, INFO: Data imported successfully
2025-Jan-07-11-55-35, INFO: Transforming data...
2025-Jan-07-11-55-35, INFO: Exporting data to Countries_by_GDP.json...
2025-Jan-07-11-55-35, INFO: Data exported successfully
2025-Jan-07-11-55-35, INFO: ETL process completed successfully
2025-Jan-07-13-57-03, INFO: --------------------------------------------------
2025-Jan-07-13-57-03, INFO: Starting the ETL process
2025-Jan-07-13-57-03, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-13-57-03, INFO: Data imported successfully
2025-Jan-07-13-57-03, INFO: Transforming data...
2025-Jan-07-13-57-03, INFO: Exporting data to Countries_by_GDP.json...
2025-Jan-07-13-57-03, INFO: Data exported successfully
2025-Jan-07-13-57-03, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-13-58-56, INFO: Starting the ETL process
2025-Jan-07-13-58-56, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-13-58-57, INFO: Data imported successfully
2025-Jan-07-13-58-57, INFO: Transforming data...
2025-Jan-07-13-58-57, INFO: Exporting data to Countries_by_GDP.json...
2025-Jan-07-13-58-57, INFO: Data exported successfully
2025-Jan-07-13-58-57, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-14-22-32, INFO: Starting the ETL process
2025-Jan-07-14-22-32, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-14-22-32, INFO: Data imported successfully
2025-Jan-07-14-22-32, INFO: Transforming data...
2025-Jan-07-14-22-32, INFO: Saving data to Database...
2025-Jan-07-14-22-32, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-14-23-30, INFO: Starting the ETL process
2025-Jan-07-14-23-30, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-14-23-31, INFO: Data imported successfully
2025-Jan-07-14-23-31, INFO: Transforming data...
2025-Jan-07-14-23-31, INFO: Saving data to Database...
2025-Jan-07-14-23-31, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-14-38-21, INFO: Starting the ETL process
2025-Jan-07-14-38-21, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-14-38-21, INFO: Data imported successfully
2025-Jan-07-14-38-21, INFO: Transforming data...
2025-Jan-07-14-38-21, INFO: Exporting data to World_Economies.db...
2025-Jan-07-14-38-21, INFO: Data exported successfully
2025-Jan-07-14-38-21, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-14-41-08, INFO: Starting the ETL process
2025-Jan-07-14-41-08, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-14-41-08, INFO: Data imported successfully
2025-Jan-07-14-41-08, INFO: Transforming data...
2025-Jan-07-14-41-08, INFO: Exporting data to World_Economies.db...
2025-Jan-07-14-41-08, INFO: Data exported successfully
2025-Jan-07-14-41-08, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-14-42-03, INFO: Starting the ETL process
2025-Jan-07-14-42-03, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-14-42-04, INFO: Data imported successfully
2025-Jan-07-14-42-04, INFO: Transforming data...
2025-Jan-07-14-42-04, INFO: Exporting data to World_Economies.db...
2025-Jan-07-14-42-04, INFO: Data exported successfully
2025-Jan-07-14-42-04, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-14-49-38, INFO: Starting the ETL process
2025-Jan-07-14-49-38, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
2025-Jan-07-14-49-38, INFO: Data imported successfully
2025-Jan-07-14-49-38, INFO: Transforming data...
2025-Jan-07-14-49-38, INFO: Exporting data to World_Economies.db...
2025-Jan-07-14-49-38, INFO: Data exported successfully
2025-Jan-07-14-49-38, INFO: ETL process completed successfully
------------------------------
2025-Jan-07-15-20-18, INFO: Starting the ETL process
2025-Jan-07-15-20-18, INFO: Importing data from https://en.wikipedia.org/wiki/List_of_countries_by_GDP_%28nominal%29...
------------------------------
2025-Jan-07-15-21-37, INFO: Starting the ETL process
